id,speech,model_verdicts_hidden,clinician_verdict(fill:pass/fail)
rw0062,"You've done this before... told yourself tonight would be different.
And then the screen found you anyway... and the hours went somewhere you didn't choose.

---

[thoughtful] There's a particular kind of tired that has nothing to do with how long you slept.

It lives behind your eyes. It sits in your chest when you wake up and the day already feels... borrowed. Already behind.

[short pause] You know that feeling. You wouldn't be here if you didn't.

[reflective] But here's what's also true. You didn't stumble into this. You didn't drift here. Something in you got STILL enough to hear what it needed... and then you wrote it down. That's not nothing. Most people never get that quiet.

[pause] The wanting itself is the first act of courage.

[tender sigh] Imagine what it feels like to close your eyes without the noise still buzzing underneath them. To let your mind go... SOFT. To feel the weight of your body settle into actual rest, instead of half-rest, half-scroll, half-somewhere-else.

That stillness exists. It's not far.

---

[dramatic tone] You are NOT behind. You are NOT broken. You are standing at the BEGINNING of something REAL -- and the only distance between who you are right now and who you're becoming... is ONE small act!

ONE decision! TONIGHT! That's it! That's ALL it takes to START!

[exhales sharply]

[whispers] Set your phone face-down thirty minutes before bed.

[softly] That's all. Start there.",?|?,
rw0067,"You've told yourself ""soon"" so many times... the word has lost its weight.

But you just wrote it down. And that... is not nothing.

---

[thoughtful] There's a particular kind of stillness that comes before something real. Not the stillness of giving up -- the OTHER kind. The kind that hums.

[short pause] You've been carrying the wanting for a while now. The quiet sense that something in you is ready to be different. Not fixed. DIFFERENT. Stronger. More yours.

[reflective] And here's what's true: most people never even get this far. They feel the pull... and scroll past it. You didn't. You wrote it down. You meant it.

[pause] That matters.

---

[earnest] Now imagine what it feels like -- not months from now, but SOON -- to set something heavy down and feel your own hands did that. The specific, undeniable weight of knowing your body showed up because you asked it to. Three times. That's all it takes to begin rewriting what you believe about yourself.

---

[dramatic tone] This is the moment everything changes -- not because the world shifts, but because YOU do! Not because it's easy, but because you're DONE waiting!! The wanting inside you is not weakness -- it is FUEL! It has always been FUEL! And it has been waiting for exactly THIS moment!!

[exhales sharply]

---

[whispers] Ten bodyweight squats. Right now.

[softly] That's all. Start there.",pass|pass,
rw0069,"You've been meaning to get back to it... for longer than you'd like to say.

And something today made you write it down.

---

[thoughtful] There's a particular kind of drain that comes from leaving things unfinished. Not dramatic. Just... a slow leak. The half-done thing sitting there, patient, waiting, taking up quiet space in the back of your mind.

[short pause]

You didn't abandon it. You just... stepped away. And that made sense. Life gets heavy. Attention gets thin. [sympathetic] You don't owe anyone an explanation for that.

---

[gentle] But here's what's true -- finishing something does something to you. Something physical. There's a specific exhale that belongs to completion... a settling in the chest... a warmth that doesn't come from anywhere else. Not rest, exactly. More like... rightness.

[pause]

And it doesn't have to come all at once.

---

[determined] This is where it starts. Not at the end. RIGHT HERE. [dramatic tone] One piece finds another. Then another. Then you look up and twenty minutes are gone and something in you is MORE AWAKE than it was before! Not because you powered through -- because you gave yourself something to COMPLETE! Something to FINISH! Something that is YOURS!

[exhales sharply]

---

[whispers] That's what this is really about. Not the puzzle. The feeling of being someone who finishes things.

[softly] And it starts right now. [pause] Place ten puzzle pieces on the table. [tender sigh] That's all. Start there.",pass|fail,
rw0074,"You've started this before... in your head... a hundred times.
This time, you wrote it down.

---

[thoughtful] There's a particular weight to the mornings you didn't go. Not guilt, exactly... more like a quiet conversation you kept postponing with yourself.

[short pause] And that makes sense. It does.

[reflective] But here's what's also true -- something in you is HUNGRY. Not for punishment, not for discipline... for the way your body feels when it's MOVING. The cool air hitting your face. The sound of your own breath finding its rhythm. The particular satisfaction that belongs only to this -- to running -- to being OUTSIDE and ALIVE in your own body before the day has asked anything of you.

[pause] You didn't lose that. It's been here.

[dramatic tone] And NOW -- right now -- the version of you who has already run three mornings this week... is so close. Not some distant, better you. Not a stranger. YOU. Just... on the other side of one front door!

[determined] Three mornings! Three mornings of cold air and heartbeat and YES! Three mornings of coming HOME to yourself! That's what's waiting! THAT is what HAPPY feels like in your body and you KNOW it!!

[exhales sharply]

[whispers] It doesn't start with three mornings.

[softly] It starts with one pair of shoes. One door.

[pause] Put on your running shoes... and walk outside.

[gently] That's all. Start there.",pass|fail,
rw0078,"You've been ready... longer than you've let yourself believe.
And somewhere underneath all the waiting... you already know that.

---

[thoughtful] There's a particular kind of heaviness that builds when something important sits unfinished. Not laziness. Not fear, exactly. Just... weight. The kind that makes the smallest step feel like it requires everything.

[pause] You've circled this before. Opened the tab, maybe. Told yourself tomorrow.

[reassuring] But here's what's true: most people never even write it down. You did. That wanting -- that specific, directional wanting -- that's not nothing. That is the HARDEST part dressed up as the smallest part.

---

[exhales sharply] Because on the other side of this application... something shifts. There's a version of your days that has more air in them. More forward motion. That particular lightness that comes when your life is finally pointed somewhere you CHOSE.

Not someday. Not eventually. Just... a door, cracked open.

---

[dramatic tone] You are not waiting to become someone who does things like this. You ARE that person. You were ALWAYS that person! The one who shows up. Who reaches. Who says YES to a life with more in it!!

[energetic] One field. One field is all it takes to make this REAL!

---

[whispers] So here it is. Quietly. Gently.

[softly] Open the application and read one field.

[pause] That's all. Start there.",pass|fail,
rw0079,"You've been here before... standing at the edge of something small... that means something large.
This time, you wrote it down.

---

[thoughtful] There's a particular kind of stillness before a change begins. Not peace — weight. The feeling of a life that's ready to shift... but hasn't yet.

[short pause] You know that drawer. You've closed it a hundred times without opening it all the way. [pause] That wasn't avoidance. That was you, carrying everything, all at once, waiting for the right moment.

[softly] The right moment is made. Not found.

---

[reflective] You are NOT behind. You are NOT broken. The wanting itself — the fact that something in you raised its hand and said *now* — that is RARE. Most people never even get here.

[exhales sharply] But you did.

---

[dramatic tone] And here's what's waiting on the other side of three small things lifted from one small drawer —

A breath that comes easier. A tiny corner of the world that matches the person you're becoming. The particular satisfaction of a promise KEPT — not to anyone else — to YOU!

[energetic] One drawer. Three things. That's where it starts! That's where it ALWAYS starts! Not in the grand gesture — in the quiet, specific, THIS ONE THING!!

[shouts] THIS is the moment! Not tomorrow — NOW!

---

[whispers] [pause] Remove three items from one drawer.

[sighs] That's all. Start there.",pass|fail,
rw0080,"You've done this before... in your head... a hundred times.
And then the night ended, and the dishes were still there.

---

[thoughtful] There's a weight that lives in small undone things. Not the weight of the task itself — the weight of what it means that you didn't. The quiet erosion. The way you stop trusting the voice that says *tonight I will.*

[pause]

[gentle] But here's what's true. Every postponement made a kind of sense at the time. You were tired. You were depleted. The couch was right there. That's not weakness — that's a person running low.

[reflective] And yet... you wrote it down. You meant it. That's not nothing. Most people never even get here.

---

[short pause] Now — imagine finishing. [pause] Warm water. The small sound of a dish placed clean on the rack. The kitchen, quiet. And something else, underneath — something steadier than relief. [earnest] The feeling of a person who keeps their word to THEMSELVES.

---

[determined] That feeling is REAL. It belongs to you. It's been waiting. And you don't have to earn it with a mountain — you just have to take ONE step toward it. One small act that says: *I meant what I said.* [dramatic tone] That I AM someone who follows through! That the voice inside me MEANS something! That TONIGHT is different!

[exhales sharply]

---

[whispers] Wash one dish and set it to dry.

[softly] That's all. Start there.",pass|fail,
rw0081,"You've made this promise before... and watched yourself break it.
This time, you wrote it down.

---

[thoughtful] There's a particular kind of tired that has nothing to do with sleep.

It's the weight of knowing you said you would... and didn't. Again. [short pause] Not because you're weak. Not because something is wrong with you. But because every small promise you make to yourself carries the echo of every one you've made before. [pause] That adds up. Of course it does.

[reassuring] But here's what's also true -- you showed up today. You named the thing. Most people just... let it stay quiet in their chest and call it ""someday."" You didn't. That's not nothing. That is ACTUALLY something.

[earnest] And here's what the other side of this feels like -- not in some distant future, but soon. The small, clean satisfaction of reaching for something and choosing differently. A quieter body. Breath that comes a little easier. The specific pride of a person who does what they say they'll do.

---

[dramatic tone] Because every promise you keep to yourself rewrites the story! Every single one! This is where it starts -- not with willpower, not with perfection -- with ONE act! One choice that says: [pause] I mean it this time!

[exhales sharply]

[whispers] And you do. You really do.

[softly] Swap one soda today for a glass of water. [pause] That's all. Start there.",pass|fail,
rw0082,"You've been meaning to look up... for a long time now.
Not at screens. At the world.

---

[thoughtful] There's a particular kind of drift that happens quietly. The days start looking the same. The light through a window... unremarkable. A cup on a table... just a cup. Something in you stops reaching toward things.

[short pause] You know that feeling.

[reflective] And the waiting made sense. You were busy. Tired. You told yourself you'd start when conditions were right -- when you had better light, a better eye, a better reason.

[pause] But you wrote it down today. That's not small. Most people never get that far.

[earnest] Here's what's waiting on the other side of this: a moment where you hold something ordinary up to the light... and it becomes YOURS. A shadow. A texture. The particular way something just sits in the world, unrepeatable, RIGHT NOW. Your breath slows. Something in your chest opens. You start noticing things you cannot stop noticing.

[dramatic tone] That is what begins today. Not a project! Not a discipline! A way of MOVING through the world with your eyes ACTUALLY open! One image! One moment you CHOSE to keep! Every single day BUILDING a record that says -- I WAS HERE! I PAID ATTENTION! THIS MATTERED TO ME!

[exhales sharply]

[whispers] That's the whole thing. Just that.

[softly] Photograph one object within arm's reach now.

[gentle] That's all. Start there.",pass|fail,
rw0083,"You've been running on empty... and calling it fine.
The month keeps moving. And so do you. Just... never toward yourself.

---

[thoughtful] There's a particular kind of depletion that doesn't announce itself loudly. It just... dims things, slowly, until you can't quite remember the last time you felt like YOU.

[short pause] And somewhere underneath all of it, you wrote down something that surprised you.

Not a spa day. Not a rest. [pause] Something that asks you to show up... for someone else.

[softly] Here's what's true about that: giving, when it's chosen freely, doesn't drain the well. It FILLS it. There's a warmth that moves through you when you're useful in the world -- not for obligation, not for performance -- but because you DECIDED to be there.

[inhales deeply] That's not nothing. That's actually the whole thing.

---

[dramatic tone] You are not behind! You are not too tired to matter! The version of you who volunteers this month -- who walks through a door and says HERE -- is not some distant, better self!

[determined] That person is one TEXT away! One message! One moment of your thumb hitting send!

[energetic] That's all the distance there is between you and the thing that fills you back up!

[exhales sharply]

---

[whispers] So. Gently. Right now.

Text one local org asking volunteer hours.

[softly] That's all. Start there.",pass|fail,
rw0085,"You've been waiting for the right moment... and the right moment kept moving.
This time, you didn't wait. You wrote it down.

---

[thoughtful] There's a particular kind of quiet that settles in when you've been... somewhere inside yourself for too long. Not broken. Not stuck. Just... waiting for the signal that something is allowed to shift.

[short pause] And you felt it. Something loosened. Something said: *now.*

[reflective] Here's what's true -- the wanting itself is RARE. Most people carry a quiet wish like this and never let it become a word, a sentence, a decision. You did. That already makes this different.

[pause] Think about what it feels like to sit across from someone. The warmth of a cup between your hands. A real voice. A laugh that arrives before you expected it. That specific lightness after -- like something stale has been breathed out of the room.

[determined] That's what's waiting on the other side of one name.

[dramatic tone] Not a plan. Not a perfect moment. ONE name! That's the whole gate! One person! One door! You don't need courage for a list -- you need it for ONE name, and you HAVE it! You are ALREADY here! You already moved!

[exhales sharply]

[whispers] The world doesn't shift all at once. It shifts in small, specific acts. And this one... is yours.

[softly] Write one name of someone to meet.

[sighs] That's all. Start there.",pass|fail,
rw0087,"You've told yourself ""tomorrow"" so many times... tomorrow became the plan.
And somewhere along the way... the plan became the excuse.

---

[thoughtful] There's a particular kind of exhaustion that has nothing to do with sleep.

It's the weight of watching yourself not do the thing you said you'd do. [short pause] Again.

Not because you couldn't. [pause] Because somehow... you just didn't.

[gentle] And that's not laziness. That's not weakness. That's what it feels like to carry an intention with no anchor. The wanting was always real. It just had nowhere to land.

[reflective] But here's what most people never do -- they never write it down. They never press the button. They never make it real enough to hold in their hands.

You did.

---

[earnest] And something about waking at the same hour every day... it's not about the alarm. It's about the feeling of being someone who SHOWS UP. For themselves. Quietly. Consistently. With no audience.

[dramatic tone] That feeling compounds. It BUILDS. Every morning you keep the promise, something settles in your chest -- something solid, something YOURS --

[determined] And you start to become someone who FINISHES things! Someone who STARTS things and SEES them through! Someone whose word -- to themselves -- MEANS something!

[energetic] Not someday! Not when everything's perfect! NOW! With this! With ONE alarm!

---

[whispers] Set tomorrow's alarm for one chosen time.

[softly] That's all. Start there.",pass|fail,
